time,demand_fid,demand_lon,demand_lat,priority,supply_fid,supply_lon,supply_lat,supply_type,material_weight,unique_id
0.0,DEM_40900,113.8246586429914,22.67545038503824,1,MED_531,113.8076652331016,22.69033302747562,medical,15.5,DEM_000_00
0.0,DEM_26569,113.9446728336602,22.67752499580806,4,COM_54,113.80529579176628,22.66083003960116,commercial,12.0,DEM_000_01
0.0,DEM_294,113.92817298647608,22.693158379213127,4,COM_12,113.82327136439469,22.6746292751996,commercial,22.5,DEM_000_02
0.0,DEM_19702,113.94397177326348,22.677205509671687,1,MED_341,113.8077787728144,22.69023886178267,medical,8.9,DEM_000_03
0.0,DEM_19454,113.94415693682808,22.675902934194568,2,MED_68,113.8078934065362,22.69043991380036,medical,7.3,DEM_000_04
0.0,DEM_4918,113.82657509408808,22.66851608040146,4,COM_22,113.9352843465338,22.681219811731687,commercial,26.2,DEM_000_05
0.0,DEM_37367,113.8618067485544,22.65888711423331,4,COM_22,113.9352843465338,22.681219811731687,commercial,25.2,DEM_000_06
0.0,DEM_27265,113.9215261763966,22.67530870791892,4,COM_54,113.80529579176628,22.66083003960116,commercial,8.1,DEM_000_07
0.0,DEM_22114,113.8168050615167,22.66176617726174,2,MED_68,113.8078934065362,22.69043991380036,medical,18.8,DEM_000_08
0.083,DEM_21271,113.8630138318654,22.658155842131688,4,COM_12,113.82327136439469,22.6746292751996,commercial,14.3,DEM_001_00
0.083,DEM_11747,113.8068403237939,22.6857137228249,4,COM_22,113.9352843465338,22.681219811731687,commercial,22.5,DEM_001_01
0.083,DEM_43641,113.80038572679548,22.67167702087772,4,COM_5,113.8231103907918,22.67455908142552,commercial,20.2,DEM_001_02
0.083,DEM_9380,113.9404173719204,22.67610844180511,2,MED_531,113.8076652331016,22.69033302747562,medical,23.2,DEM_001_03
0.083,DEM_8889,113.8136488724644,22.66694283487466,2,MED_438,113.8080819750525,22.69056122970081,medical,14.5,DEM_001_04
0.083,DEM_40135,113.8629192144854,22.66383346907219,4,COM_54,113.80529579176628,22.66083003960116,commercial,10.5,DEM_001_05
0.083,DEM_18707,113.80114147325529,22.67657385872136,4,COM_5,113.8231103907918,22.67455908142552,commercial,10.7,DEM_001_06
0.083,DEM_1473,113.8706782473243,22.673811101182128,4,COM_22,113.9352843465338,22.681219811731687,commercial,15.0,DEM_001_07
0.083,DEM_3250,113.922803727628,22.651597928593247,4,COM_12,113.82327136439469,22.6746292751996,commercial,27.8,DEM_001_08
0.083,DEM_34611,113.8247915720392,22.67543719110325,4,COM_22,113.9352843465338,22.681219811731687,commercial,10.3,DEM_001_09
0.167,DEM_35900,113.9211352156926,22.66085926764654,4,COM_52,113.8232721744962,22.67444093610764,commercial,27.4,DEM_002_00
0.167,DEM_23463,113.9285430090275,22.6734626073948,4,COM_22,113.9352843465338,22.681219811731687,commercial,10.5,DEM_002_01
0.167,DEM_7372,113.9337891205276,22.68155812393228,4,COM_54,113.80529579176628,22.66083003960116,commercial,17.3,DEM_002_02
0.167,DEM_2249,113.9228297520358,22.69728243742692,4,COM_5,113.8231103907918,22.67455908142552,commercial,8.8,DEM_002_03
0.167,DEM_8669,113.9451048015929,22.67666033856401,4,COM_52,113.8232721744962,22.67444093610764,commercial,19.9,DEM_002_04
0.167,DEM_22502,113.922825539263,22.6716765368791,4,COM_52,113.8232721744962,22.67444093610764,commercial,19.9,DEM_002_05
0.167,DEM_27751,113.93491900217448,22.686586158698233,4,COM_54,113.80529579176628,22.66083003960116,commercial,11.3,DEM_002_06
0.25,DEM_15036,113.9443437922183,22.67706660379832,4,COM_54,113.80529579176628,22.66083003960116,commercial,24.0,DEM_003_00
0.25,DEM_30354,113.8064118511124,22.69433548615222,2,MED_68,113.8078934065362,22.69043991380036,medical,26.8,DEM_003_01
0.25,DEM_17168,113.8054886814288,22.66660711336068,4,COM_54,113.80529579176628,22.66083003960116,commercial,20.2,DEM_003_02
0.25,DEM_8203,113.8151146398444,22.665844515728296,4,COM_22,113.9352843465338,22.681219811731687,commercial,24.1,DEM_003_03
0.25,DEM_32534,113.9885986614007,22.69021477316211,4,COM_54,113.80529579176628,22.66083003960116,commercial,28.0,DEM_003_04
0.25,DEM_36949,113.82122472799028,22.69231956259836,4,COM_22,113.9352843465338,22.681219811731687,commercial,17.2,DEM_003_05
0.25,DEM_5798,113.93198728577448,22.683025544180687,4,COM_22,113.9352843465338,22.681219811731687,commercial,27.0,DEM_003_06
